AGNO,COD_DEPE,COD_REG_RBD,COD_ENSE,PROM_GRAL
2011,Particular Pagado,Región del Bío-Bío,Educacion Media,5.354833131592599
2011,Particular Pagado,Región del Libertador Bernardo O'Higgins,Educacion Basica,5.931475787855496
2011,Particular Pagado,Región del Libertador Bernardo O'Higgins,Educacion Media,5.330047505938242
2011,Particular Pagado,Región del Maule,Educacion Basica,6.072368751569957
2011,Particular Pagado,Región del Maule,Educacion Media,5.886783514921838
2011,Particular Subvencionado,Región Metropolitana de Santiago,Educacion Basica,5.3551765717737
2011,Particular Subvencionado,Región Metropolitana de Santiago,Educacion Media,4.796604743912678
2011,Particular Subvencionado,Región de Antofagasta,Educacion Basica,5.609124752154736
2011,Particular Subvencionado,Región de Antofagasta,Educacion Media,5.181926496196499
2011,Particular Subvencionado,Región de Arica y Parinacota,Educacion Basica,5.409653965997923
2011,Particular Subvencionado,Región de Arica y Parinacota,Educacion Media,4.887493028443949
2011,Particular Subvencionado,Región de Atacama,Educacion Basica,5.580654676943572
2011,Particular Subvencionado,Región de Atacama,Educacion Media,4.928340575774036
2011,Particular Subvencionado,Región de Aysén del Gral. Ibañez del Campo,Educacion Basica,5.3963196923922
2011,Particular Subvencionado,Región de Aysén del Gral. Ibañez del Campo,Educacion Media,4.926974448315912
2011,Particular Subvencionado,Región de Coquimbo,Educacion Basica,5.573895466996554
2011,Particular Subvencionado,Región de Coquimbo,Educacion Media,5.169533360809635
2011,Particular Subvencionado,Región de La Araucanía,Educacion Basica,5.279234435177745
2011,Particular Subvencionado,Región de La Araucanía,Educacion Media,4.814077352661597
2011,Particular Subvencionado,Región de Los Lagos,Educacion Basica,5.298989240299967
2011,Particular Subvencionado,Región de Los Lagos,Educacion Media,4.856265293637847
2011,Particular Subvencionado,Región de Los Ríos,Educacion Basica,5.2892920555429095
2011,Particular Subvencionado,Región de Los Ríos,Educacion Media,4.820034154233327
2011,Particular Subvencionado,Región de Magallanes y Antártica Chilena,Educacion Basica,5.8614819350887934
2011,Particular Subvencionado,Región de Magallanes y Antártica Chilena,Educacion Media,5.4795089155217775
2011,Particular Subvencionado,Región de Tarapacá,Educacion Basica,5.303297225389586
2011,Particular Subvencionado,Región de Tarapacá,Educacion Media,4.972091368953525
2011,Particular Subvencionado,Región de Valparaíso,Educacion Basica,5.479075799185109
2011,Particular Subvencionado,Región de Valparaíso,Educacion Media,5.125134653426563
2011,Particular Subvencionado,Región del Bío-Bío,Educacion Basica,5.576377245791946
2011,Particular Subvencionado,Región del Bío-Bío,Educacion Media,5.153497855881612
2011,Particular Subvencionado,Región del Libertador Bernardo O'Higgins,Educacion Basica,5.531618616049754
2011,Particular Subvencionado,Región del Libertador Bernardo O'Higgins,Educacion Media,5.009944627775603
2011,Particular Subvencionado,Región del Maule,Educacion Basica,5.52622100892386
2011,Particular Subvencionado,Región del Maule,Educacion Media,5.199085755349729
2012,Municipal,Región Metropolitana de Santiago,Educacion Basica,4.986949664870548
